quizid|numero_pregunta|respuesta_esperada
1653|1|Como formador en una red rural de la DRE Piura, identifiqué que la mayoría de los docentes, si bien eran aplicados, se limitaban a replicar estrategias, operando en un nivel superficial de reflexión (según Larrivee), sin cuestionar el porqué de sus decisiones. Mi misión era guiarlos hacia una docencia crítico-reflexiva, enfocada en la Competencia 8 del MBDD (reflexiona sobre su práctica y experiencia institucional). La estrategia exitosa fue implementar un ciclo de diálogo reflexivo estructurado, centrado en la deconstrucción de un supuesto prescriptivo. Seleccioné la práctica de un docente que creía que la lectura debía ser "silenciosa y solitaria" para ser profunda. Mi recurso personal fue la empatía y la regulación emocional para evitar que el docente se sintiera amenazado. Durante el diálogo de reflexión, utilicé preguntas claves para que el docente identificara su supuesto subyacente: "Solo la lectura individual demuestra autonomía". El docente logró analizar sus creencias y se dio cuenta de que su práctica no consideraba la necesidad de construcción colectiva de conocimiento pedagógico (enfoque colaborativo y autonomía colegiada). Su recurso personal clave fue su experiencia en el aula y su compromiso ético con sus estudiantes. La reflexión culminó en la resignificación de su práctica. El docente se comprometió a implementar estrategias que fomentaran el diálogo horizontal, utilizando la lectura para el debate y la interpretación compartida. Este compromiso generó un nuevo saber pedagógico situado y fortaleció su identidad profesional. Haberme dado cuenta de que la crítica constructiva debe estar siempre mediada por la asertividad (tratando al docente con respeto), me compromete a seguir modelando las habilidades blandas en cada sesión, reforzando mi rol de líder transformador y motivando a reflexionar permanentemente sobre su desempeño profesional.
1653|2|Una de las prácticas habituales como formador ha sido priorizar la explicación exhaustiva de marcos teóricos y normativos al inicio de una asesoría a la práctica, postergando el análisis de la práctica. Esto porque pensaba que se debe iniciar la asesoría comunicando la teoría de manera formal antes de cualquier aplicación en la práctica y brindarles la teoría es el primer paso para el aprendizaje y asegurar el cambio de la práctica. Definitivamente, después de leer y analizar este curso he podido concluir que, este enfoque ignora la andragogía (en la que valora la experiencia como recurso) y va en contra de la secuencia metodológica del MINEDU, que propone comenzar con la reflexión de la práctica pedagógica y la identificación de una oportunidad de mejora. Mi práctica como formador ha estado sustentada en una racionalidad técnica (aplicación de método), mientras que el enfoque del curso exige una racionalidad crítica. Esto sin duda, Implica deconstruir mis supuestos y adoptar una secuencia metodológica que inicie con un desafío situado (experiencia concreta), utilice la teoría solo como marco de contraste y fundamentación (comprensión de conocimiento y saberes). Creo que con este cambio haré que se transforme mi rol de "transmisor" a "mediador de la reflexión crítica", desarrollando el juicio pedagógico y la autonomía de los docentes.
1653|3|El enfoque por competencias se desarrolla promoviendo que los docentes movilicen y combinen reflexivamente distintos saberes en situaciones complejas. Taller formativo: En esta estrategia, los docentes enfrentan un problema complejo y real, por ejemplo la baja comprensión lectora en una comunidad quechua hablante. Deben diseñar una propuesta pedagógica que los obliga a movilizar saberes cognitivos, procedimentales y actitudinales. Esta estrategia se vincula con el Enfoque por competencias profesionales docentes y con el Principio de pertinencia y diversidad. Observación entre pares y diálogo reflexivo: El formador facilita procesos de observación entre pares centrados en la toma de decisiones pedagógicas. Luego, mediante el Diálogo Reflexivo en sus momentos 2 y 3, se analizan evidencias para cuestionar el porqué de las acciones del docente, fortaleciendo así su juicio pedagógico. Esta estrategia se relaciona con el Enfoque colaborativo, la autonomía colegiada y el Principio de compromiso y desarrollo autónomo. Itinerario formativo: Después de realizar un diagnóstico que identifique necesidades formativas reales, se ofrecen itinerarios ajustados a la distancia entre el nivel actual del docente y el nivel de competencia esperado. Esto respeta su ritmo y experiencia. La estrategia está vinculada con el Principio de progresividad y el Principio de continuidad, asegurando una mejora continua y sistemática.
1654|1|Las nuevas tecnologías contribuyen a mi rol como formador de docentes en la perspectiva del continuum de desarrollo profesional al asegurar la adaptabilidad de la formación y su continuidad. La tecnología transforma la formación, permitiendo que sea flexible y diversificada. Para desarrollar el enfoque por competencias profesionales docentes, las nuevas tecnologías son esenciales porque: 1. Permiten diseñar simulaciones interactivas y casos de práctica simulada que sitúan a los docentes en situaciones complejas y desafiantes. Estas herramientas obligan al docente a movilizar y combinar reflexivamente sus capacidades para generar respuestas pertinentes a problemas. 2. Facilitan la creación de itinerarios formativos que cumplan con el principio de progresividad, reconociendo la distancia entre el nivel de competencia inicial y el nivel meta. Esto impulsa la autonomía del formador en formación. Aspectos éticos del uso de la tecnología: El formador, como líder transformador, debe garantizar la integridad y la equidad ajustándolas a las necesidades del contexto para no acentuar la brecha digital y que cumplan con los principios, por ejemplo, de equidad e igualdad de oportunidades. Así también se debe seleccionar herramientas que reflejen la veracidad y probidad, asegurándose de que la información sea confiable y respetando los derechos de autor. 
1654|2|A lo largo de mi trabajo profesional he podido ser partícipe de una serie de interacciones con docentes en distintas regiones del país. Ello me ha permitido conocer y reconocer la importancia del vínculo con los docentes y que no solo es importante el qué se dice sino el cómo se dice. Partir de mis propias falencias y aspectos de mejora, así como mis fortalezas es el primer paso para poder vincularme mejor con los colegas. Si yo no poseo estas habilidades socioemocionales no sería congruente al solicitárselo a los docentes a mi cargo. La comunicación asertiva, la cual según Minedu (2021) es la habilidad de poder expresar lo que uno siente o piensa sin agredir o imponer a la otra persona y defendiendo sus puntos de vista. La pude llevar a cabo cuando un docente no cumplía con las estrategias que se había comprometido a realizar, más de una vez ocurrió ello. En ese momento consideré muy oportuno la necesidad de, a través de una comunicación asertiva, darle a notar las falencias que estaba teniendo y cómo su compromiso y responsabilidad se estaba reluciendo con el incumplimiento de dichas estrategias, asimismo, encontrar formas de poder solucionarlo sin caer en la victimización. La regulación emocional entendida desde el Minedu (2021) como gestionar las emociones propias para generar mayor bienestar, o enfrentar situaciones de forma pacífica y evitar el daño físico y emocional a uno mismo y a los demás. Me ha permitido a mí misma comprender que se pueda estar en momentos de mucha tensión, pero si sabemos regular nuestras emociones, las grandes tareas podrán ser menguadas y resueltas. Por ejemplo, en el ejemplo anterior tuve que realizar algunas respiraciones profundas para no responder de forma impulsiva porque me di cuenta que estaba molesta y fastidiada por la manera como la docente no se comprometía con el Programa; pero luego de identificar como me sentía y realizar mi estrategia de regulación pude de manera más clara conversar y reflexionar con ella. Otra habilidad que plantea el curso es la empatía, la cual según Goleman (1995) es la capacidad de percibir lo que otros sienten, ser capaz de ponerse en su lugar emocionalmente y entender su punto de vista evitando la aplicación de algún tipo de juicio. Esto pude notarlo cuando tuve la oportunidad de acompañar a una docente que había perdido hacia muy poco tiempo a su pareja debido al COVID-19, en esos momentos no sabía que hacer, pero luego de conversar con otros colegas pude reflexionar de la necesidad adicional que tenía esta maestra que no era solo poder presionarla sino escucharla y tener empatía por su situación, planteándole espacios para poder escucharla, sin juzgar, solo escuchando y así poder establecer un cronograma propicio dada su situación o en caso ella lo necesite y solicite apoyarla en su decisión de no continuar con la formación debido a su situación personal, así también tener claridad sobre los límites de mi rol y la necesidad de indicarle que es necesario recibir ayuda profesional para apoyarle en su salud mental (porque la docente no dormía, no dejaba de llorar, no se podía concentrar, se le veía desaliñada). Finalmente, el trabajo en equipo, que se refiere a la colaboración eficaz, equitativa e interdependiente de una serie de personas, que pueden tener características muy diferentes, y que combinan sus recursos personales y se esfuerzan para llevar a cabo una meta común (Minedu, 2021). Es innegable cuando se trabaja con docentes, puesto que al tener una meta en común se requiere pertenecer a una comunidad para juntos impulsarse a lograr el objetivo. Desde mi experiencia, trabajar en equipo con los docentes a cargo es necesario y no solo equipo de cada uno de ellos conmigo sino de todos apoyándose entre sí y compartiendo y apoyándose en caso tengas buenas prácticas, consultas, mejoras. Pero para ello se requiere fortalecer todas las habilidades antes mencionadas para que el equipo funcione de manera óptima. Esto pude notarlo cuando en la región Cusco me tocó trabajar con un docente que era pesimista  y todo le encontraba el pero, sin embargo, gracias al trabajo en equipo y de la motivación mutua que encontró en otros colegas pudimos por decirlo cambiarle el chip y el docente se sumó a la meta y de manera muy cariñosa concluyó el Programa agradeciendo a todo el equipo de colegas y a mi persona porque sin nosotros y ese sentido de equipo no se hubiera dado cuenta de la importancia de tener una buena actitud para solucionar los problemas de manera constructiva. 
1654|3|Marcos enfrenta un dilema ético que requiere la aplicación de las habilidades blandas y la Integridad para ser honesto sin dañar la dignidad profesional de Ana. Las decisiones que debiera tomar son: a.	Crear un clima de confianza y demostrar empatía: Iniciar el diálogo con calidez y cordialidad, practicando la escucha activa. Marcos debe utilizar la empatía para percibir el temor de Ana ante las críticas. Debe validar su emoción ("entiendo lo que está sintiendo") y abstenerse de emitir juicios. b.	Establecer un diálogo reflexivo basado en evidencia: Desarrollar el diálogo reflexivo, siguiendo la estructura de Observación (registrar hechos observados) y diálogo. Marcos debe iniciar con un refuerzo positivo (la participación lograda) para establecer un buen clima. c.	Fomentar la deconstrucción y resignificación: en el momento del diálogo de reflexión, se debe utilizar interrogantes claves que guíen a Ana a deconstruir su práctica (ej., "¿Qué supuestos sobre la evaluación te hacen sentir presionada?" o "¿Cómo crees que la omisión de la retroalimentación impacta el desarrollo de las competencias de tus estudiantes?"). Esto fomenta el juicio pedagógico y la autonomía, esenciales para la resignificación de la práctica Finalmente, Marcos debe guiar el proceso hacia el compromiso de mejora, asegurando que las decisiones de Ana estén alineadas con el sentido ético de la docencia.
1697|1|Como formador en una red rural de la DRE Piura, identifiqué que la mayoría de los docentes, si bien eran aplicados, se limitaban a replicar estrategias, operando en un nivel superficial de reflexión (según Larrivee), sin cuestionar el porqué de sus decisiones. Mi misión era guiarlos hacia una docencia crítico-reflexiva, enfocada en la Competencia 8 del MBDD (reflexiona sobre su práctica y experiencia institucional). La estrategia exitosa fue implementar un ciclo de diálogo reflexivo estructurado, centrado en la deconstrucción de un supuesto prescriptivo. Seleccioné la práctica de un docente que creía que la lectura debía ser "silenciosa y solitaria" para ser profunda. Mi recurso personal fue la empatía y la regulación emocional para evitar que el docente se sintiera amenazado. Durante el diálogo de reflexión, utilicé preguntas claves para que el docente identificara su supuesto subyacente: "Solo la lectura individual demuestra autonomía". El docente logró analizar sus creencias y se dio cuenta de que su práctica no consideraba la necesidad de construcción colectiva de conocimiento pedagógico (enfoque colaborativo y autonomía colegiada). Su recurso personal clave fue su experiencia en el aula y su compromiso ético con sus estudiantes. La reflexión culminó en la resignificación de su práctica. El docente se comprometió a implementar estrategias que fomentaran el diálogo horizontal, utilizando la lectura para el debate y la interpretación compartida. Este compromiso generó un nuevo saber pedagógico situado y fortaleció su identidad profesional. Haberme dado cuenta de que la crítica constructiva debe estar siempre mediada por la asertividad (tratando al docente con respeto), me compromete a seguir modelando las habilidades blandas en cada sesión, reforzando mi rol de líder transformador y motivando a reflexionar permanentemente sobre su desempeño profesional.
1697|2|Una de las prácticas habituales como formador ha sido priorizar la explicación exhaustiva de marcos teóricos y normativos al inicio de una asesoría a la práctica, postergando el análisis de la práctica. Esto porque pensaba que se debe iniciar la asesoría comunicando la teoría de manera formal antes de cualquier aplicación en la práctica y brindarles la teoría es el primer paso para el aprendizaje y asegurar el cambio de la práctica. Definitivamente, después de leer y analizar este curso he podido concluir que, este enfoque ignora la andragogía (en la que valora la experiencia como recurso) y va en contra de la secuencia metodológica del MINEDU, que propone comenzar con la reflexión de la práctica pedagógica y la identificación de una oportunidad de mejora. Mi práctica como formador ha estado sustentada en una racionalidad técnica (aplicación de método), mientras que el enfoque del curso exige una racionalidad crítica. Esto sin duda, Implica deconstruir mis supuestos y adoptar una secuencia metodológica que inicie con un desafío situado (experiencia concreta), utilice la teoría solo como marco de contraste y fundamentación (comprensión de conocimiento y saberes). Creo que con este cambio haré que se transforme mi rol de "transmisor" a "mediador de la reflexión crítica", desarrollando el juicio pedagógico y la autonomía de los docentes.
1697|3|El enfoque por competencias se desarrolla promoviendo que los docentes movilicen y combinen reflexivamente distintos saberes en situaciones complejas. Taller formativo: En esta estrategia, los docentes enfrentan un problema complejo y real, por ejemplo la baja comprensión lectora en una comunidad quechua hablante. Deben diseñar una propuesta pedagógica que los obliga a movilizar saberes cognitivos, procedimentales y actitudinales. Esta estrategia se vincula con el Enfoque por competencias profesionales docentes y con el Principio de pertinencia y diversidad. Observación entre pares y diálogo reflexivo: El formador facilita procesos de observación entre pares centrados en la toma de decisiones pedagógicas. Luego, mediante el Diálogo Reflexivo en sus momentos 2 y 3, se analizan evidencias para cuestionar el porqué de las acciones del docente, fortaleciendo así su juicio pedagógico. Esta estrategia se relaciona con el Enfoque colaborativo, la autonomía colegiada y el Principio de compromiso y desarrollo autónomo. Itinerario formativo: Después de realizar un diagnóstico que identifique necesidades formativas reales, se ofrecen itinerarios ajustados a la distancia entre el nivel actual del docente y el nivel de competencia esperado. Esto respeta su ritmo y experiencia. La estrategia está vinculada con el Principio de progresividad y el Principio de continuidad, asegurando una mejora continua y sistemática.
1698|1|Las nuevas tecnologías contribuyen a mi rol como formador de docentes en la perspectiva del continuum de desarrollo profesional al asegurar la adaptabilidad de la formación y su continuidad. La tecnología transforma la formación, permitiendo que sea flexible y diversificada. Para desarrollar el enfoque por competencias profesionales docentes, las nuevas tecnologías son esenciales porque: 1. Permiten diseñar simulaciones interactivas y casos de práctica simulada que sitúan a los docentes en situaciones complejas y desafiantes. Estas herramientas obligan al docente a movilizar y combinar reflexivamente sus capacidades para generar respuestas pertinentes a problemas. 2. Facilitan la creación de itinerarios formativos que cumplan con el principio de progresividad, reconociendo la distancia entre el nivel de competencia inicial y el nivel meta. Esto impulsa la autonomía del formador en formación. Aspectos éticos del uso de la tecnología: El formador, como líder transformador, debe garantizar la integridad y la equidad ajustándolas a las necesidades del contexto para no acentuar la brecha digital y que cumplan con los principios, por ejemplo, de equidad e igualdad de oportunidades. Así también se debe seleccionar herramientas que reflejen la veracidad y probidad, asegurándose de que la información sea confiable y respetando los derechos de autor. 
1698|2|A lo largo de mi trabajo profesional he podido ser partícipe de una serie de interacciones con docentes en distintas regiones del país. Ello me ha permitido conocer y reconocer la importancia del vínculo con los docentes y que no solo es importante el qué se dice sino el cómo se dice. Partir de mis propias falencias y aspectos de mejora, así como mis fortalezas es el primer paso para poder vincularme mejor con los colegas. Si yo no poseo estas habilidades socioemocionales no sería congruente al solicitárselo a los docentes a mi cargo. La comunicación asertiva, la cual según Minedu (2021) es la habilidad de poder expresar lo que uno siente o piensa sin agredir o imponer a la otra persona y defendiendo sus puntos de vista. La pude llevar a cabo cuando un docente no cumplía con las estrategias que se había comprometido a realizar, más de una vez ocurrió ello. En ese momento consideré muy oportuno la necesidad de, a través de una comunicación asertiva, darle a notar las falencias que estaba teniendo y cómo su compromiso y responsabilidad se estaba reluciendo con el incumplimiento de dichas estrategias, asimismo, encontrar formas de poder solucionarlo sin caer en la victimización. La regulación emocional entendida desde el Minedu (2021) como gestionar las emociones propias para generar mayor bienestar, o enfrentar situaciones de forma pacífica y evitar el daño físico y emocional a uno mismo y a los demás. Me ha permitido a mí misma comprender que se pueda estar en momentos de mucha tensión, pero si sabemos regular nuestras emociones, las grandes tareas podrán ser menguadas y resueltas. Por ejemplo, en el ejemplo anterior tuve que realizar algunas respiraciones profundas para no responder de forma impulsiva porque me di cuenta que estaba molesta y fastidiada por la manera como la docente no se comprometía con el Programa; pero luego de identificar como me sentía y realizar mi estrategia de regulación pude de manera más clara conversar y reflexionar con ella. Otra habilidad que plantea el curso es la empatía, la cual según Goleman (1995) es la capacidad de percibir lo que otros sienten, ser capaz de ponerse en su lugar emocionalmente y entender su punto de vista evitando la aplicación de algún tipo de juicio. Esto pude notarlo cuando tuve la oportunidad de acompañar a una docente que había perdido hacia muy poco tiempo a su pareja debido al COVID-19, en esos momentos no sabía que hacer, pero luego de conversar con otros colegas pude reflexionar de la necesidad adicional que tenía esta maestra que no era solo poder presionarla sino escucharla y tener empatía por su situación, planteándole espacios para poder escucharla, sin juzgar, solo escuchando y así poder establecer un cronograma propicio dada su situación o en caso ella lo necesite y solicite apoyarla en su decisión de no continuar con la formación debido a su situación personal, así también tener claridad sobre los límites de mi rol y la necesidad de indicarle que es necesario recibir ayuda profesional para apoyarle en su salud mental (porque la docente no dormía, no dejaba de llorar, no se podía concentrar, se le veía desaliñada). Finalmente, el trabajo en equipo, que se refiere a la colaboración eficaz, equitativa e interdependiente de una serie de personas, que pueden tener características muy diferentes, y que combinan sus recursos personales y se esfuerzan para llevar a cabo una meta común (Minedu, 2021). Es innegable cuando se trabaja con docentes, puesto que al tener una meta en común se requiere pertenecer a una comunidad para juntos impulsarse a lograr el objetivo. Desde mi experiencia, trabajar en equipo con los docentes a cargo es necesario y no solo equipo de cada uno de ellos conmigo sino de todos apoyándose entre sí y compartiendo y apoyándose en caso tengas buenas prácticas, consultas, mejoras. Pero para ello se requiere fortalecer todas las habilidades antes mencionadas para que el equipo funcione de manera óptima. Esto pude notarlo cuando en la región Cusco me tocó trabajar con un docente que era pesimista  y todo le encontraba el pero, sin embargo, gracias al trabajo en equipo y de la motivación mutua que encontró en otros colegas pudimos por decirlo cambiarle el chip y el docente se sumó a la meta y de manera muy cariñosa concluyó el Programa agradeciendo a todo el equipo de colegas y a mi persona porque sin nosotros y ese sentido de equipo no se hubiera dado cuenta de la importancia de tener una buena actitud para solucionar los problemas de manera constructiva. 
1698|3|Marcos enfrenta un dilema ético que requiere la aplicación de las habilidades blandas y la Integridad para ser honesto sin dañar la dignidad profesional de Ana. Las decisiones que debiera tomar son: a.	Crear un clima de confianza y demostrar empatía: Iniciar el diálogo con calidez y cordialidad, practicando la escucha activa. Marcos debe utilizar la empatía para percibir el temor de Ana ante las críticas. Debe validar su emoción ("entiendo lo que está sintiendo") y abstenerse de emitir juicios. b.	Establecer un diálogo reflexivo basado en evidencia: Desarrollar el diálogo reflexivo, siguiendo la estructura de Observación (registrar hechos observados) y diálogo. Marcos debe iniciar con un refuerzo positivo (la participación lograda) para establecer un buen clima. c.	Fomentar la deconstrucción y resignificación: en el momento del diálogo de reflexión, se debe utilizar interrogantes claves que guíen a Ana a deconstruir su práctica (ej., "¿Qué supuestos sobre la evaluación te hacen sentir presionada?" o "¿Cómo crees que la omisión de la retroalimentación impacta el desarrollo de las competencias de tus estudiantes?"). Esto fomenta el juicio pedagógico y la autonomía, esenciales para la resignificación de la práctica Finalmente, Marcos debe guiar el proceso hacia el compromiso de mejora, asegurando que las decisiones de Ana estén alineadas con el sentido ético de la docencia.
